YEAR,CODE_REGION,REGION,CODE_AREA,AREA,MONTHLY_INCOME,CURRENT_INCOME,MONEY_INCOME,FROM_WORK,CURRENT_TRANSFER,PROPERTY_INCOME,NONMONEY_INCOME,NONCUR_M_INCOME,UNIT,SOURCE
2554,0,ทั่วราชอาณาจักร,0,เขตการปกครอง,23236,22873,19712,16719,2527,466,3161,363,บาท,สำนักงานสถิติแห่งชาติ
2554,0,ทั่วราชอาณาจักร,1,ในเขตเทศบาล,31695,31385,27792,23810,2993,988,3593,310,บาท,สำนักงานสถิติแห่งชาติ
2554,0,ทั่วราชอาณาจักร,2,นอกเขตเทศบาล,18439,18046,15130,12698,2262,170,2916,393,บาท,สำนักงานสถิติแห่งชาติ
2554,1,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",0,เขตการปกครอง,41631,41479,36782,32173,2955,1654,4697,152,บาท,สำนักงานสถิติแห่งชาติ
2554,1,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",1,ในเขตเทศบาล,44108,43938,38969,33955,3131,1883,4969,170,บาท,สำนักงานสถิติแห่งชาติ
2554,1,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",2,นอกเขตเทศบาล,27113,27070,23965,21733,1920,313,3105,44,บาท,สำนักงานสถิติแห่งชาติ
2554,2,กลาง,0,เขตการปกครอง,20822,20562,17773,15495,1979,299,2789,260,บาท,สำนักงานสถิติแห่งชาติ
2554,2,กลาง,1,ในเขตเทศบาล,23737,23528,20815,17865,2366,584,2713,209,บาท,สำนักงานสถิติแห่งชาติ
2554,2,กลาง,2,นอกเขตเทศบาล,19222,18934,16104,14195,1766,143,2830,288,บาท,สำนักงานสถิติแห่งชาติ
2554,3,เหนือ,0,เขตการปกครอง,17350,16943,14277,11663,2357,258,2666,407,บาท,สำนักงานสถิติแห่งชาติ
2554,3,เหนือ,1,ในเขตเทศบาล,22265,21758,18874,15493,2985,396,2884,507,บาท,สำนักงานสถิติแห่งชาติ
2554,3,เหนือ,2,นอกเขตเทศบาล,15390,15023,12444,10135,2107,202,2579,367,บาท,สำนักงานสถิติแห่งชาติ
2554,4,ตะวันออกเฉียงเหนือ,0,เขตการปกครอง,18217,17733,14496,11226,3099,171,3238,483,บาท,สำนักงานสถิติแห่งชาติ
2554,4,ตะวันออกเฉียงเหนือ,1,ในเขตเทศบาล,26034,25491,22399,18357,3648,394,3092,543,บาท,สำนักงานสถิติแห่งชาติ
2554,4,ตะวันออกเฉียงเหนือ,2,นอกเขตเทศบาล,16103,15636,12359,9298,2950,110,3277,467,บาท,สำนักงานสถิติแห่งชาติ
2554,5,ใต้,0,เขตการปกครอง,27326,26938,24366,22201,1735,430,2571,388,บาท,สำนักงานสถิติแห่งชาติ
2554,5,ใต้,1,ในเขตเทศบาล,29638,29390,26692,23392,2551,749,2698,247,บาท,สำนักงานสถิติแห่งชาติ
2554,5,ใต้,2,นอกเขตเทศบาล,26307,25857,23341,21676,1376,289,2516,450,บาท,สำนักงานสถิติแห่งชาติ
2556,0,ทั่วราชอาณาจักร,0,เขตการปกครอง,25194,24845,21562,18589,2644,329,3283,349,บาท,สำนักงานสถิติแห่งชาติ
2556,0,ทั่วราชอาณาจักร,1,ในเขตเทศบาล,31939,31653,28026,24510,2985,531,3627,287,บาท,สำนักงานสถิติแห่งชาติ
2556,0,ทั่วราชอาณาจักร,2,นอกเขตเทศบาล,21377,20992,17903,15238,2451,215,3089,384,บาท,สำนักงานสถิติแห่งชาติ
2556,1,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",0,เขตการปกครอง,43058,42908,37978,34465,2823,690,4930,149,บาท,สำนักงานสถิติแห่งชาติ
2556,1,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",1,ในเขตเทศบาล,44402,44238,39265,35606,2880,779,4972,164,บาท,สำนักงานสถิติแห่งชาติ
2556,1,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",2,นอกเขตเทศบาล,35491,35425,30732,28044,2502,186,4693,66,บาท,สำนักงานสถิติแห่งชาติ
2556,2,กลาง,0,เขตการปกครอง,26114,25833,22853,20305,2271,278,2979,281,บาท,สำนักงานสถิติแห่งชาติ
2556,2,กลาง,1,ในเขตเทศบาล,28513,28277,25322,22246,2713,363,2955,236,บาท,สำนักงานสถิติแห่งชาติ
2556,2,กลาง,2,นอกเขตเทศบาล,24771,24465,21472,19218,2024,230,2993,306,บาท,สำนักงานสถิติแห่งชาติ
2556,3,เหนือ,0,เขตการปกครอง,19267,18873,16276,13487,2525,264,2598,394,บาท,สำนักงานสถิติแห่งชาติ
2556,3,เหนือ,1,ในเขตเทศบาล,20666,20274,17734,14322,3080,331,2540,392,บาท,สำนักงานสถิติแห่งชาติ
2556,3,เหนือ,2,นอกเขตเทศบาล,18713,18318,15698,13156,2305,237,2620,394,บาท,สำนักงานสถิติแห่งชาติ
2556,4,ตะวันออกเฉียงเหนือ,0,เขตการปกครอง,19181,18767,15468,12162,3129,177,3299,415,บาท,สำนักงานสถิติแห่งชาติ
2556,4,ตะวันออกเฉียงเหนือ,1,ในเขตเทศบาล,24007,23571,20437,16491,3576,369,3134,436,บาท,สำนักงานสถิติแห่งชาติ
2556,4,ตะวันออกเฉียงเหนือ,2,นอกเขตเทศบาล,17861,17452,14108,10977,3007,124,3344,409,บาท,สำนักงานสถิติแห่งชาติ
2556,5,ใต้,0,เขตการปกครอง,27504,27063,24156,21672,2012,472,2907,441,บาท,สำนักงานสถิติแห่งชาติ
2556,5,ใต้,1,ในเขตเทศบาล,28906,28559,25531,22271,2646,614,3028,348,บาท,สำนักงานสถิติแห่งชาติ
2556,5,ใต้,2,นอกเขตเทศบาล,26897,26416,23561,21413,1738,410,2855,482,บาท,สำนักงานสถิติแห่งชาติ
2558,0,ทั่วราชอาณาจักร,0,เขตการปกครอง,26915,26518,22914,19650,2857,406,3604,397,บาท,สำนักงานสถิติแห่งชาติ
2558,0,ทั่วราชอาณาจักร,1,ในเขตเทศบาล,32350,32062,28187,24404,3129,654,3874,288,บาท,สำนักงานสถิติแห่งชาติ
2558,0,ทั่วราชอาณาจักร,2,นอกเขตเทศบาล,21994,21498,18138,15346,2612,181,3360,496,บาท,สำนักงานสถิติแห่งชาติ
2558,1,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",0,เขตการปกครอง,41002,40816,35980,31931,3011,1038,4836,186,บาท,สำนักงานสถิติแห่งชาติ
2558,1,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",1,ในเขตเทศบาล,42766,42560,37560,33199,3204,1156,5000,206,บาท,สำนักงานสถิติแห่งชาติ
2558,1,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",2,นอกเขตเทศบาล,30680,30610,26738,24507,1885,346,3872,70,บาท,สำนักงานสถิติแห่งชาติ
2558,2,กลาง,0,เขตการปกครอง,26601,26138,23039,20575,2242,222,3099,463,บาท,สำนักงานสถิติแห่งชาติ
2558,2,กลาง,1,ในเขตเทศบาล,27244,26967,24022,21271,2455,296,2944,277,บาท,สำนักงานสถิติแห่งชาติ
2558,2,กลาง,2,นอกเขตเทศบาล,26106,25500,22282,20038,2079,165,3218,606,บาท,สำนักงานสถิติแห่งชาติ
2558,3,เหนือ,0,เขตการปกครอง,18952,18542,15582,12459,2864,260,2960,410,บาท,สำนักงานสถิติแห่งชาติ
2558,3,เหนือ,1,ในเขตเทศบาล,20401,20008,17058,13604,3111,343,2951,392,บาท,สำนักงานสถิติแห่งชาติ
2558,3,เหนือ,2,นอกเขตเทศบาล,18086,17665,14700,11774,2716,210,2965,421,บาท,สำนักงานสถิติแห่งชาติ
2558,4,ตะวันออกเฉียงเหนือ,0,เขตการปกครอง,21094,20614,16950,13285,3499,166,3664,480,บาท,สำนักงานสถิติแห่งชาติ
2558,4,ตะวันออกเฉียงเหนือ,1,ในเขตเทศบาล,25740,25272,21820,17675,3877,268,3452,469,บาท,สำนักงานสถิติแห่งชาติ
2558,4,ตะวันออกเฉียงเหนือ,2,นอกเขตเทศบาล,19004,18519,14760,11311,3329,120,3759,485,บาท,สำนักงานสถิติแห่งชาติ
2558,5,ใต้,0,เขตการปกครอง,26286,25826,22695,20047,2324,324,3131,459,บาท,สำนักงานสถิติแห่งชาติ
2558,5,ใต้,1,ในเขตเทศบาล,29500,29322,26023,22620,2924,479,3299,178,บาท,สำนักงานสถิติแห่งชาติ
2558,5,ใต้,2,นอกเขตเทศบาล,24391,23766,20734,18531,1969,234,3032,625,บาท,สำนักงานสถิติแห่งชาติ
2560,0,ทั่วราชอาณาจักร,0,เขตการปกครอง,26946,26603,22878,19359,3132,386,3725,343,บาท,สำนักงานสถิติแห่งชาติ
2560,0,ทั่วราชอาณาจักร,1,ในเขตเทศบาล,32744,32491,28407,24238,3558,610,4084,253,บาท,สำนักงานสถิติแห่งชาติ
2560,0,ทั่วราชอาณาจักร,2,นอกเขตเทศบาล,21862,21440,18029,15081,2759,190,3411,423,บาท,สำนักงานสถิติแห่งชาติ
2560,1,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",0,เขตการปกครอง,41897,41790,36749,32076,3670,1003,5042,107,บาท,สำนักงานสถิติแห่งชาติ
2560,1,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",1,ในเขตเทศบาล,43005,42896,37655,32593,3955,1107,5241,109,บาท,สำนักงานสถิติแห่งชาติ
2560,1,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",2,นอกเขตเทศบาล,35899,35802,31843,29279,2126,439,3959,97,บาท,สำนักงานสถิติแห่งชาติ
2560,2,กลาง,0,เขตการปกครอง,27042,26675,23469,20924,2353,192,3206,367,บาท,สำนักงานสถิติแห่งชาติ
2560,2,กลาง,1,ในเขตเทศบาล,29524,29255,26046,23456,2388,203,3208,269,บาท,สำนักงานสถิติแห่งชาติ
2560,2,กลาง,2,นอกเขตเทศบาล,25105,24663,21459,18949,2326,183,3204,443,บาท,สำนักงานสถิติแห่งชาติ
2560,3,เหนือ,0,เขตการปกครอง,19046,18647,15555,12220,3014,320,3092,399,บาท,สำนักงานสถิติแห่งชาติ
2560,3,เหนือ,1,ในเขตเทศบาล,22250,21786,18628,14589,3602,436,3158,464,บาท,สำนักงานสถิติแห่งชาติ
2560,3,เหนือ,2,นอกเขตเทศบาล,17154,16793,13740,10820,2667,252,3053,361,บาท,สำนักงานสถิติแห่งชาติ
2560,4,ตะวันออกเฉียงเหนือ,0,เขตการปกครอง,20271,19752,16082,12103,3812,167,3669,519,บาท,สำนักงานสถิติแห่งชาติ
