หมายเลขระหว่างภูมิประเทศ,หมายเลขแผ่นระวางภูมิประเทศ,หมายเลขระวาง UTM,หมายเลขแผ่น,มาตราส่วนระวางแผนที่,เลขที่ดิน,ราคาประเมิน (บาท/ตร.ว.)
5035,1,5292,04,1000,22,800.00000000
5035,1,5292,06,1000,4,500.00000000
5035,1,5292,06,1000,10,500.00000000
5035,1,5292,07,1000,10,500.00000000
5035,1,5292,08,1000,6,500.00000000
5035,1,5492,01,1000,1,800.00000000
5035,1,5492,04,1000,2,500.00000000
5035,1,5492,05,1000,5,500.00000000
5035,1,5492,06,1000,9,500.00000000
5035,1,5492,08,1000,2,500.00000000
5035,1,5492,08,1000,5,500.00000000
5035,1,5492,16,1000,1,500.00000000
5035,1,5692,01,1000,3,500.00000000
5035,1,5692,05,1000,14,500.00000000
5035,1,5692,09,1000,1,500.00000000
5035,1,5692,10,1000,2,500.00000000
5036,1,4226,16,1000,3,5000.00000000
5036,1,4226,16,1000,23,5650.00000000
5036,1,4422,01,1000,53,8000.00000000
5036,1,4422,02,1000,57,8000.00000000
5036,1,4422,02,1000,89,8000.00000000
5036,1,4422,02,1000,124,8000.00000000
5036,1,4422,02,1000,127,8000.00000000
5036,1,4422,02,1000,156,8000.00000000
5036,1,4422,02,1000,183,17000.00000000
5036,1,4422,02,1000,209,17000.00000000
5036,1,4422,02,1000,214,28000.00000000
5036,1,4422,02,1000,235,17000.00000000
5036,1,4422,02,1000,238,17000.00000000
5036,1,4422,02,1000,270,14000.00000000
5036,1,4422,02,1000,285,20000.00000000
5036,1,4422,02,1000,363,14000.00000000
5036,1,4422,02,1000,402,32000.00000000
5036,1,4422,02,1000,484,6000.00000000
5036,1,4422,03,1000,7,20000.00000000
5036,1,4422,03,1000,30,20000.00000000
5036,1,4422,03,1000,33,20000.00000000
5036,1,4422,03,1000,39,20000.00000000
5036,1,4422,03,1000,123,20000.00000000
5036,1,4422,03,1000,155,20000.00000000
5036,1,4422,03,1000,158,20000.00000000
5036,1,4422,03,1000,210,20000.00000000
5036,1,4422,03,1000,213,20000.00000000
5036,1,4422,03,1000,228,22000.00000000
5036,1,4422,04,1000,5,22000.00000000
5036,1,4422,04,1000,22,20000.00000000
5036,1,4422,04,1000,31,20000.00000000
5036,1,4422,04,1000,39,33000.00000000
5036,1,4422,04,1000,130,30000.00000000
5036,1,4422,04,1000,136,30000.00000000
5036,1,4422,05,1000,21,23000.00000000
5036,1,4422,05,1000,24,23000.00000000
5036,1,4422,05,1000,46,32000.00000000
5036,1,4422,05,1000,50,23000.00000000
5036,1,4422,05,1000,101,30000.00000000
5036,1,4422,05,1000,102,60000.00000000
5036,1,4422,05,1000,112,20000.00000000
5036,1,4422,06,1000,13,8000.00000000
5036,1,4422,06,1000,19,8000.00000000
5036,1,4422,06,1000,22,8000.00000000
5036,1,4422,06,1000,87,20000.00000000
5036,1,4422,06,1000,90,20000.00000000
5036,1,4422,06,1000,122,20000.00000000
5036,1,4422,06,1000,151,20000.00000000
5036,1,4422,06,1000,229,30500.00000000
5036,1,4422,06,1000,298,35000.00000000
5036,1,4422,07,1000,9,26500.00000000
5036,1,4422,07,1000,29,20000.00000000
5036,1,4422,07,1000,64,20000.00000000
5036,1,4422,07,1000,87,20000.00000000
5036,1,4422,07,1000,96,20000.00000000
5036,1,4422,07,1000,100,12500.00000000
5036,1,4422,07,1000,121,23000.00000000
5036,1,4422,07,1000,124,23000.00000000
5036,1,4422,07,1000,164,28000.00000000
5036,1,4422,07,1000,179,23000.00000000
5036,1,4422,08,1000,39,30500.00000000
5036,1,4422,08,1000,69,30000.00000000
5036,1,4422,08,1000,190,30500.00000000
5036,1,4422,08,1000,193,30500.00000000
5036,1,4422,09,1000,12,22000.00000000
5036,1,4422,09,1000,21,22000.00000000
5036,1,4422,09,1000,47,22000.00000000
5036,1,4422,09,1000,50,22000.00000000
5036,1,4422,09,1000,73,22000.00000000
5036,1,4422,09,1000,79,22000.00000000
5036,1,4422,09,1000,82,22000.00000000
5036,1,4422,09,1000,134,22000.00000000
5036,1,4422,09,1000,143,22000.00000000
5036,1,4422,09,1000,166,22000.00000000
5036,1,4422,09,1000,169,22000.00000000
5036,1,4422,09,1000,195,22000.00000000
5035,1,5292,07,1000,5,500.00000000
5035,1,5292,08,1000,4,500.00000000
5035,1,5292,08,1000,10,500.00000000
5035,1,5292,11,1000,5,500.00000000
5035,1,5492,02,1000,1,800.00000000
5035,1,5492,07,1000,10,500.00000000
5035,1,5492,08,1000,3,500.00000000
5035,1,5492,08,1000,12,500.00000000
5035,1,5492,11,1000,1,500.00000000
5035,1,5692,01,1000,7,500.00000000
5035,1,5692,01,1000,10,500.00000000
5035,1,5692,06,1000,2,500.00000000
5035,1,5692,07,1000,2,500.00000000
5035,1,5692,09,1000,5,500.00000000
5035,1,5692,09,1000,8,500.00000000
5035,1,5692,09,1000,28,500.00000000
5036,1,4422,02,1000,24,8000.00000000
5036,1,4422,02,1000,27,8000.00000000
5036,1,4422,02,1000,56,8000.00000000
5036,1,4422,02,1000,117,8000.00000000
5036,1,4422,02,1000,123,8000.00000000
5036,1,4422,02,1000,142,10000.00000000
5036,1,4422,02,1000,202,17000.00000000
5036,1,4422,02,1000,231,17000.00000000
5036,1,4422,02,1000,284,20000.00000000
5036,1,4422,03,1000,55,20000.00000000
5036,1,4422,03,1000,93,20000.00000000
5036,1,4422,03,1000,125,20000.00000000
5036,1,4422,03,1000,186,20000.00000000
5036,1,4422,03,1000,206,20000.00000000
5036,1,4422,03,1000,212,20000.00000000
5036,1,4422,03,1000,253,22000.00000000
5036,1,4422,04,1000,21,20000.00000000
5036,1,4422,04,1000,66,33000.00000000
5036,1,4422,04,1000,95,33000.00000000
5036,1,4422,04,1000,101,33000.00000000
5036,1,4422,04,1000,143,30000.00000000
5036,1,4422,05,1000,26,11500.00000000
5036,1,4422,05,1000,34,23000.00000000
5036,1,4422,05,1000,106,60000.00000000
5036,1,4422,06,1000,12,8000.00000000
5036,1,4422,06,1000,41,8000.00000000
5036,1,4422,06,1000,44,4000.00000000
5036,1,4422,06,1000,89,20000.00000000
5036,1,4422,06,1000,92,20000.00000000
5036,1,4422,06,1000,121,20000.00000000
5036,1,4422,06,1000,124,20000.00000000
5036,1,4422,06,1000,144,20000.00000000
5036,1,4422,06,1000,176,20000.00000000
5036,1,4422,06,1000,211,20000.00000000
5036,1,4422,06,1000,214,20000.00000000
5036,1,4422,06,1000,270,19000.00000000
5036,1,4422,06,1000,295,32000.00000000
5036,1,4422,06,1000,372,23000.00000000
5036,1,4422,07,1000,38,28000.00000000
5036,1,4422,07,1000,83,20000.00000000
5036,1,4422,07,1000,86,20000.00000000
5036,1,4422,07,1000,120,11500.00000000
5036,1,4422,07,1000,122,23000.00000000
5036,1,4422,08,1000,4,22000.00000000
5036,1,4422,08,1000,6,13500.00000000
5036,1,4422,08,1000,40,30500.00000000
5036,1,4422,08,1000,76,30000.00000000
5036,1,4422,08,1000,111,30000.00000000
5036,1,4422,08,1000,153,28000.00000000
5036,1,4422,08,1000,156,28000.00000000
5036,1,4422,08,1000,182,28000.00000000
5036,1,4422,08,1000,244,21000.00000000
5036,1,4422,09,1000,40,22000.00000000
5036,1,4422,09,1000,49,22000.00000000
5036,1,4422,09,1000,133,22000.00000000
5036,1,4422,09,1000,139,22000.00000000
5036,1,4422,09,1000,162,22000.00000000
5036,1,4422,09,1000,197,22000.00000000
5036,1,4422,09,1000,200,22000.00000000
5036,1,4422,09,1000,240,20000.00000000
5036,1,4422,09,1000,243,20000.00000000
5036,1,4422,09,1000,246,20000.00000000
5036,1,4422,09,1000,304,20000.00000000
5036,1,4422,09,1000,336,20000.00000000
5036,1,4422,09,1000,397,20000.00000000
5036,1,4422,09,1000,421,6000.00000000
5036,1,4422,09,1000,443,3000.00000000
5036,1,4422,09,1000,473,6000.00000000
5036,1,4422,09,1000,490,20000.00000000
5036,1,4422,09,1000,513,20000.00000000
5036,1,4422,09,1000,516,20000.00000000
5036,1,4422,09,1000,545,20000.00000000
5036,1,4422,09,1000,555,23000.00000000
5036,1,4422,09,1000,561,18000.00000000
5036,1,4422,10,1000,15,22000.00000000
5036,1,4422,10,1000,18,22000.00000000
5036,1,4422,09,1000,227,22000.00000000
5036,1,4422,09,1000,244,20000.00000000
5036,1,4422,09,1000,253,20000.00000000
5036,1,4422,09,1000,279,20000.00000000
5036,1,4422,09,1000,302,20000.00000000
5036,1,4422,09,1000,334,20000.00000000
5036,1,4422,09,1000,337,20000.00000000
5036,1,4422,09,1000,363,20000.00000000
5036,1,4422,09,1000,369,20000.00000000
5036,1,4422,09,1000,372,20000.00000000
5036,1,4422,09,1000,401,20000.00000000
5036,1,4422,09,1000,449,6000.00000000
5036,1,4422,09,1000,491,20000.00000000
5036,1,4422,09,1000,560,18000.00000000
5036,1,4422,10,1000,37,15000.00000000
5036,1,4422,10,1000,98,15000.00000000
5036,1,4422,10,1000,104,15000.00000000
5036,1,4422,10,1000,127,15000.00000000
5036,1,4422,10,1000,133,15000.00000000
5036,1,4422,10,1000,156,15000.00000000
5036,1,4422,10,1000,159,15000.00000000
5036,1,4422,10,1000,165,15000.00000000
5036,1,4422,10,1000,188,15000.00000000
5036,1,4422,10,1000,194,15000.00000000
5036,1,4422,10,1000,255,15000.00000000
5036,1,4422,10,1000,284,15000.00000000
5036,1,4422,10,1000,336,15000.00000000
5036,1,4422,10,1000,344,20000.00000000
5036,1,4422,10,1000,376,20000.00000000
5036,1,4422,10,1000,386,6000.00000000
5036,1,4422,10,1000,389,6000.00000000
5036,1,4422,10,1000,392,6000.00000000
5036,1,4422,10,1000,435,15000.00000000
5036,1,4422,10,1000,444,6000.00000000
5036,1,4422,10,1000,450,3000.00000000
